"","gene","compound","tissue","estimate","n","fdr","mDataType","gene_seq_start","gene_seq_end","strand","chr","pvalue"
"1","ENSG00000000003","Trametinib","Lung",0.240587654868752,NA,NA,"rna",100627108,100639991,"-","chrX",0.0350212667572623
"2","ENSG00000000971","Nvp-tae 684","Lymphoid",0.58714465565016,NA,NA,"rna",196652043,196747504,"+","chr1",2.35637866e-08
"3","ENSG00000000971","Panobinostat","Lung",-0.348598141531628,NA,NA,"rna",196652043,196747504,"+","chr1",2.35637866e-08
"4","ENSG00000000971","Trametinib","Lung",0.503915910062459,NA,NA,"rna",196652043,196747504,"+","chr1",2.35637866e-08
"5","ENSG00000002834","Daporinad","Lung",-0.498739002983533,NA,NA,"rna",38869859,38921770,"+","chr17",2.35637866e-08
"6","ENSG00000002834","Dasatinib","Lung",0.479506365890519,NA,NA,"rna",38869859,38921770,"+","chr17",2.35637866e-08
"7","ENSG00000002834","Entinostat","Lung",-0.195977439812775,NA,NA,"rna",38869859,38921770,"+","chr17",0.166724353359346
"8","ENSG00000002834","Navitoclax","Lung",-0.389365546973559,NA,NA,"rna",38869859,38921770,"+","chr17",0.0007331374358574
"9","ENSG00000002834","Palbociclib","Lung",0.332004635379959,NA,NA,"rna",38869859,38921770,"+","chr17",0.0016643977400667
"10","ENSG00000002834","Panobinostat","Lung",-0.250874457222512,NA,NA,"rna",38869859,38921770,"+","chr17",0.0075213647270475
"11","ENSG00000002834","Saracatinib","Lung",0.33889587588983,NA,NA,"rna",38869859,38921770,"+","chr17",0.0102268542425974
"12","ENSG00000002834","Trametinib","Lung",0.416386133004817,NA,NA,"rna",38869859,38921770,"+","chr17",2.35637866e-08
"13","ENSG00000002933","Panobinostat","Lung",0.221831472065798,NA,NA,"rna",150800403,150805118,"+","chr7",0.0868386718517947
"14","ENSG00000003056","Trametinib","Lung",0.355063797079929,NA,NA,"rna",8940361,8949761,"-","chr12",6.362222536e-07
"15","ENSG00000003400","Daporinad","Lung",-0.206648170596848,NA,NA,"rna",201182898,201229406,"+","chr2",0.177670657138603
"16","ENSG00000003400","Linsitinib","Lymphoid",0.385419894462555,NA,NA,"rna",201182898,201229406,"+","chr2",2.35637866e-08
"17","ENSG00000003402","Daporinad","Lung",-0.369701571512877,NA,NA,"rna",201116154,201176687,"+","chr2",2.35637866e-08
"18","ENSG00000003402","PD-0325901","Lung",0.349904252699213,NA,NA,"rna",201116154,201176687,"+","chr2",0.0001069633103603
"19","ENSG00000003402","Selumetinib","Lung",0.300196115057907,NA,NA,"rna",201116154,201176687,"+","chr2",0.0001730702717122
"20","ENSG00000003402","Trametinib","Lung",0.450167661230215,NA,NA,"rna",201116154,201176687,"+","chr2",2.35637866e-08
"21","ENSG00000003436","Daporinad","Lung",-0.440598006537174,NA,NA,"rna",187464230,187565760,"-","chr2",2.35637866e-08
"22","ENSG00000003436","Navitoclax","Lung",-0.298722905858152,NA,NA,"rna",187464230,187565760,"-","chr2",0.00021030353285
"23","ENSG00000003436","PD-0325901","Lung",0.396528712681006,NA,NA,"rna",187464230,187565760,"-","chr2",2.35637866e-08
"24","ENSG00000003436","Panobinostat","Lung",-0.392458125060106,NA,NA,"rna",187464230,187565760,"-","chr2",2.35637866e-08
"25","ENSG00000003436","Selumetinib","Lung",0.349319225555038,NA,NA,"rna",187464230,187565760,"-","chr2",7.99196365269e-05
"26","ENSG00000003436","Trametinib","Lung",0.58445244864668,NA,NA,"rna",187464230,187565760,"-","chr2",2.35637866e-08
"27","ENSG00000003436","Vorinostat","Lung",-0.271383291290121,NA,NA,"rna",187464230,187565760,"-","chr2",2.35637866e-08
"28","ENSG00000003987","Crizotinib","Lymphoid",0.391059815815606,NA,NA,"rna",17296794,17413528,"-","chr8",3.27292759017e-05
"29","ENSG00000003987","Entinostat","Lung",0.110216761579557,NA,NA,"rna",17296794,17413528,"-","chr8",0.527749210414705
"30","ENSG00000003987","Navitoclax","Lung",0.368480414144877,NA,NA,"rna",17296794,17413528,"-","chr8",2.35637866e-08
"31","ENSG00000003987","Nvp-tae 684","Lymphoid",0.413617191187456,NA,NA,"rna",17296794,17413528,"-","chr8",0.0006811644245384
"32","ENSG00000003987","Panobinostat","Lung",0.335828176408175,NA,NA,"rna",17296794,17413528,"-","chr8",4.08563490084e-05
"33","ENSG00000003987","Trametinib","Lung",-0.245809352334355,NA,NA,"rna",17296794,17413528,"-","chr8",0.0001439276120458
"34","ENSG00000003987","Venetoclax","Lung",0.461209869870202,NA,NA,"rna",17296794,17413528,"-","chr8",3.6840146919e-06
"35","ENSG00000003987","Vorinostat","Lung",0.272231762885885,NA,NA,"rna",17296794,17413528,"-","chr8",0.0033850258982195
"36","ENSG00000004139","Daporinad","Lung",0.549209039998783,NA,NA,"rna",28364356,28404049,"+","chr17",3.6067396e-09
"37","ENSG00000004139","Dasatinib","Lung",-0.47758923848259,NA,NA,"rna",28364356,28404049,"+","chr17",2.35637866e-08
"38","ENSG00000004139","Navitoclax","Lung",0.38576279748865,NA,NA,"rna",28364356,28404049,"+","chr17",2.35637866e-08
"39","ENSG00000004139","PD-0325901","Lung",-0.408123694375389,NA,NA,"rna",28364356,28404049,"+","chr17",2.35637866e-08
"40","ENSG00000004139","Saracatinib","Lung",-0.231847839244674,NA,NA,"rna",28364356,28404049,"+","chr17",0.117750911809098
"41","ENSG00000004139","Selumetinib","Lung",-0.348953363986821,NA,NA,"rna",28364356,28404049,"+","chr17",2.35637866e-08
"42","ENSG00000004139","Trametinib","Lung",-0.487777277142478,NA,NA,"rna",28364356,28404049,"+","chr17",2.35637866e-08
"43","ENSG00000004139","Vorinostat","Lung",0.287273205391301,NA,NA,"rna",28364356,28404049,"+","chr17",2.35637866e-08
"44","ENSG00000004399","Cytarabine","Lymphoid",0.448606731182528,NA,NA,"rna",129555175,129606818,"-","chr3",2.35637866e-08
"45","ENSG00000004487","Alisertib","Lung",0.393837086846076,NA,NA,"rna",23019443,23083689,"+","chr1",5.38369281981e-05
"46","ENSG00000004487","Cytarabine","Lymphoid",0.439999725869259,NA,NA,"rna",23019443,23083689,"+","chr1",2.35637866e-08
"47","ENSG00000004487","Daporinad","Lung",0.503866590295768,NA,NA,"rna",23019443,23083689,"+","chr1",2.35637866e-08
"48","ENSG00000004487","Entinostat","Lung",0.243035307279807,NA,NA,"rna",23019443,23083689,"+","chr1",0.0883507633989553
"49","ENSG00000004487","Navitoclax","Lung",0.259446286456725,NA,NA,"rna",23019443,23083689,"+","chr1",2.6862717376e-06
"50","ENSG00000004487","PD-0325901","Lung",-0.41581156339737,NA,NA,"rna",23019443,23083689,"+","chr1",2.35637866e-08
"51","ENSG00000004487","Palbociclib","Lung",-0.275367570894533,NA,NA,"rna",23019443,23083689,"+","chr1",0.0515247801991311
